driveId:0, tickMs:0, currentPosition, targetPosition, currentSpeed, targetSpeed, error:4, integral:2, derivative:0, speedError:4, speedIntegral:2, sppedDerivative:0, kpTerm:3, kiTerm:3, kdTerm:3, kffTerm:3, kPSpeedTerm:3, kISpeedTerm:3, kDSpeedTerm:3, output:3, current:3
2, 145155, 314033, 313154, -8129, -20800, -879, -8038, 0, 0, 0, 0, -27, -1, 0, -72, 0, 0, 0, -100, 13
2, 145164, 313769, 312951, -10413, -21956, -818, -8856, 0, 0, 0, 0, -25, -2, 0, -76, 0, 0, 0, -103, 19
2, 145175, 313418, 312738, -13499, -23111, -680, -9536, 0, 0, 0, 0, -21, -2, 0, -79, 0, 0, 0, -102, 11
2, 145184, 313066, 312512, -16211, -24267, -554, -10090, 0, 0, 0, 0, -17, -2, 0, -83, 0, 0, 0, -102, 19
2, 145194, 312715, 312275, -18572, -25423, -440, -10530, 0, 0, 0, 0, -14, -2, 0, -87, 0, 0, 0, -103, 19
2, 145205, 312627, 312027, -17351, -26578, -600, -11130, 0, 0, 0, 0, -19, -2, 0, -91, 0, 0, 0, -112, 19
2, 145214, 312627, 311767, -15182, -27734, -860, -11990, 0, 0, 0, 0, -27, -2, 0, -95, 0, 0, 0, -124, 19
2, 145225, 312363, 311495, -16584, -28889, -868, -12858, 0, 0, 0, 0, -27, -2, 0, -99, 0, 0, 0, -128, 26
2, 145234, 312011, 311212, -18911, -30045, -799, -13657, 0, 0, 0, 0, -25, -2, 0, -103, 0, 0, 0, -130, 13
2, 145244, 311572, 310918, -22034, -31201, -654, -14311, 0, 0, 0, 0, -20, -2, 0, -107, 0, 0, 0, -129, 26
2, 145255, 311133, 310611, -24767, -32356, -522, -14833, 0, 0, 0, 0, -16, -2, 0, -111, 0, 0, 0, -129, 19
2, 145264, 310693, 310294, -27171, -33512, -399, -15232, 0, 0, 0, 0, -13, -2, 0, -115, 0, 0, 0, -130, 26
2, 145275, 310166, 309964, -30362, -34667, -202, -15434, 0, 0, 0, 0, -7, -2, 0, -119, 0, 0, 0, -128, 19
2, 145284, 309638, 309623, -33167, -35823, -15, -15449, 0, 0, 0, 0, -1, -2, 0, -123, 0, 0, 0, -126, 19
2, 145294, 309111, 309271, -35608, -36979, 160, -15289, 0, 0, 0, 0, 4, -2, 0, -127, 0, 0, 0, -125, 13
2, 145307, 308672, 308907, -36645, -38134, 235, -15054, 0, 0, 0, 0, 7, -2, 0, -131, 0, 0, 0, -126, 28
2, 145316, 308144, 308531, -38664, -39290, 387, -14667, 0, 0, 0, 0, 11, -2, 0, -135, 0, 0, 0, -126, 19
2, 145325, 307617, 308144, -40418, -40445, 527, -14140, 0, 0, 0, 0, 16, -2, 0, -139, 0, 0, 0, -125, 13
2, 145335, 306914, 307745, -44153, -41601, 831, -13309, 0, 0, 0, 0, 25, -2, 0, -143, 0, 0, 0, -120, 9
2, 145345, 306474, 307335, -44134, -42757, 861, -12448, 0, 0, 0, 0, 26, -2, 0, -147, 0, 0, 0, -123, 13
2, 145355, 306123, 306913, -43005, -43912, 790, -11658, 0, 0, 0, 0, 24, -2, 0, -151, 0, 0, 0, -129, 23
2, 145364, 305683, 306480, -43129, -45068, 797, -10861, 0, 0, 0, 0, 24, -2, 0, -155, 0, 0, 0, -133, 19
2, 145375, 305156, 306035, -44325, -46223, 879, -9982, 0, 0, 0, 0, 26, -2, 0, -158, 0, 0, 0, -134, 23
2, 145384, 304804, 305579, -43185, -47379, 775, -9207, 0, 0, 0, 0, 23, -2, 0, -162, 0, 0, 0, -141, 21
2, 145394, 304277, 305111, -44374, -48535, 834, -8373, 0, 0, 0, 0, 25, -2, 0, -166, 0, 0, 0, -143, 23
2, 145405, 303838, 304631, -44315, -49690, 793, -7580, 0, 0, 0, 0, 24, -1, 0, -170, 0, 0, 0, -147, 23
2, 145414, 303398, 304140, -44275, -50846, 742, -6838, 0, 0, 0, 0, 22, -1, 0, -174, 0, 0, 0, -153, 36
2, 145425, 302959, 303637, -44228, -52001, 678, -6160, 0, 0, 0, 0, 20, -1, 0, -178, 0, 0, 0, -159, 42
2, 145434, 302343, 303123, -46399, -53157, 780, -5380, 0, 0, 0, 0, 23, -1, 0, -182, 0, 0, 0, -160, 44
2, 145444, 301904, 302597, -46087, -54313, 693, -4687, 0, 0, 0, 0, 21, -1, 0, -186, 0, 0, 0, -166, 65
2, 145455, 301552, 302060, -44726, -55468, 508, -4179, 0, 0, 0, 0, 15, -1, 0, -190, 0, 0, 0, -176, 61
2, 145464, 301201, 301511, -43523, -56624, 310, -3869, 0, 0, 0, 0, 9, -1, 0, -194, 0, 0, 0, -186, 67
2, 145474, 300849, 300951, -42482, -57779, 102, -3767, 0, 0, 0, 0, 3, -1, 0, -198, 0, 0, 0, -196, 92
2, 145484, 300586, 300379, -40459, -58935, -207, -3974, 0, 0, 0, 0, -7, -1, 0, -202, 0, 0, 0, -210, 80
2, 145495, 300410, 299795, -37602, -60091, -615, -4589, 0, 0, 0, 0, -19, -1, 0, -206, 0, 0, 0, -226, 111
2, 145506, 300058, 299200, -37301, -61246, -858, -5447, 0, 0, 0, 0, -27, -1, 0, -210, 0, 0, 0, -238, 111
2, 145514, 299883, 298593, -34826, -62402, -1290, -6737, 0, 0, 0, 0, -40, -1, 0, -214, 0, 0, 0, -255, 130
2, 145525, 299707, 297975, -32673, -63557, -1732, -8469, 0, 0, 0, 0, -53, -2, 0, -218, 0, 0, 0, -273, 130
2, 145535, 299355, 297345, -32988, -64713, -2010, -10479, 0, 0, 0, 0, -62, -2, 0, -222, 0, 0, 0, -286, 157
2, 145545, 299179, 296704, -31065, -65869, -2475, -12954, 0, 0, 0, 0, -76, -2, 0, -226, 0, 0, 0, -304, 159
2, 145558, 298740, 296051, -32669, -67024, -2689, -15643, 0, 0, 0, 0, -83, -2, 0, -230, 0, 0, 0, -315, 166
2, 145565, 298301, 295386, -34073, -68180, -2915, -18558, 0, 0, 0, 0, -89, -3, 0, -234, 0, 0, 0, -326, 176
2, 145575, 297949, 294710, -34214, -69335, -3239, -21797, 0, 0, 0, 0, -99, -3, 0, -237, 0, 0, 0, -339, 184
2, 145584, 297246, 294023, -38724, -70491, -3223, -25020, 0, 0, 0, 0, -99, -4, 0, -241, 0, 0, 0, -344, 195
2, 145594, 296894, 293324, -38284, -71647, -3570, -28590, 0, 0, 0, 0, -109, -4, 0, -245, 0, 0, 0, -358, 197
2, 145605, 296367, 292613, -40086, -72802, -3754, -32344, 0, 0, 0, 0, -115, -4, 0, -249, 0, 0, 0, -368, 226
2, 145614, 295752, 291891, -42762, -73958, -3861, -36205, 0, 0, 0, 0, -118, -5, 0, -253, 0, 0, 0, -376, 228
2, 145625, 295224, 291157, -44017, -75113, -4067, -40272, 0, 0, 0, 0, -125, -5, 0, -257, 0, 0, 0, -387, 241
2, 145636, 294521, 290411, -47302, -76269, -4110, -44382, 0, 0, 0, 0, -126, -6, 0, -261, 0, 0, 0, -393, 249
2, 145644, 293906, 289655, -49077, -77425, -4251, -48633, 0, 0, 0, 0, -130, -6, 0, -265, 0, 0, 0, -401, 257
2, 145657, 293203, 288886, -51730, -78580, -4317, -52950, 0, 0, 0, 0, -132, -7, 0, -269, 0, 0, 0, -408, 272
2, 145666, 292412, 288106, -55151, -79736, -4306, -57256, 0, 0, 0, 0, -132, -7, 0, -273, 0, 0, 0, -412, 258
2, 145675, 291797, 287314, -55944, -80891, -4483, -61739, 0, 0, 0, 0, -137, -8, 0, -277, 0, 0, 0, -422, 280
2, 145685, 290742, 286511, -62139, -82047, -4231, -65970, 0, 0, 0, 0, -130, -9, 0, -281, 0, 0, 0, -420, 272
2, 145694, 290127, 285697, -62059, -83203, -4430, -70400, 0, 0, 0, 0, -136, -9, 0, -285, 0, 0, 0, -430, 266
2, 145705, 289336, 284870, -64189, -84358, -4466, -74866, 0, 0, 0, 0, -137, -10, 0, -289, 0, 0, 0, -436, 264
2, 145714, 288457, 284033, -67152, -85514, -4424, -79290, 0, 0, 0, 0, -136, -10, 0, -293, 0, 0, 0, -439, 266
2, 145725, 287490, 283183, -70846, -86669, -4307, -83597, 0, 0, 0, 0, -132, -11, 0, -297, 0, 0, 0, -440, 258
2, 145734, 286435, 282322, -75177, -87825, -4113, -87710, 0, 0, 0, 0, -126, -11, 0, -301, 0, 0, 0, -438, 258
2, 145744, 285556, 281450, -76768, -88981, -4106, -91816, 0, 0, 0, 0, -126, -12, 0, -305, 0, 0, 0, -443, 251
2, 145755, 284414, 280566, -81447, -90136, -3848, -95664, 0, 0, 0, 0, -118, -12, 0, -309, 0, 0, 0, -439, 257
